ANN_IMPST,TIPO_DICH_ACCERT,FLG_PRES_ADESIONE,INNESCO,TIPO_CONTROLLO,TIPOLOGIA_CON,FLG_PRES_RICORSO,SETT_IMP,PESO,PESO_ADESIONE,AFFIDABILITA,SOLVIBILITA,STATO_CONTROLLO,FL_CONDONO,RIM_DA_RES_AUT,RIMB_NON_CONC,RIMB_NON_CONC_DEF,RIMB_NON_CONC_AUT,CREDITO_NON_RIC_AUT,DEBITO_IMPOSTA_AUT,IVA_OP_IMPON_DIC,CREDITI_IVA_DIC,VOL_AFF_DICH,VOL_ACC_DEF,DETR_IVA_DIC,DETR_IVA_ACC,FLG_PRES_RISCOSS,INDAGINE_BANCARIA,MAG_IMP_IRPEF_ACC,MAG_IMP_IRPEF_DEF,MAG_IMP_RIT_ACC,MAG_IMP_RIT_DEF,DEBITI_IVA_DIC,COD_MOD_DICH,COD_CLASSE_VOLUME,IMP_BEN_AMM,IMP_BEN_NO_AMM,IMP_BENI_ALTRI,IMP_INTRA_IMPOST,IMP_IMPOR_IMPON,IMP_IMPOR_IMPOST,IMP_ESPORTAZ,IMP_OPER_INT,IMP_VE_OPESEN,IMP_OPER_NOIMP,IMP_CESS_BENI,IMP_VE_VOLAFF,IMP_ACQ_NOIMP,IMP_ACQ_ESENTI,IMP_ACQ_NODETR,IMP_OPER,IMP_IVA_DEB,IMP_CREDAP_COMP,IMP_CRED_AP,IMP_VERS_PERIOD,IMP_CONSUM_IMPON,IMP_SOGG_IVA_IMPON,IMP_V_AGG_IMPON,IMP_V_AGG_IVA,VAL_ALIQ_M_VOL_IMP,VAL_ALIQ_M_ACQ_IMP,VAL_ALIQ_MEDIA_VOL,VAL_ALIQ_MEDIA_ACQ,FLG_PRES_BILANCIO,COD_NATURA_GIUR,COD_STATO_DOC,COD_DIR_REG,FLG_VC,FLG_RF,FLG_FC,COD_ATTIV_GEN,IMP_UTIL_CONTEC,IMP_PERD_CONTEC,IMP_RIM_FINALI,IMP_ESISTZ,IMP_IMPST_NETTA,IMP_ECC_PREC,IMP_ECC_PREC_F24,IMP_IMPST_DEBITO,IMP_IMPST_CREDIT,cod_uff_prov_gen,cod_uff_ann_gen,imp_ricavi_comp_attiv,imp_tot_pos,imp_sps_prest_lavoro,imp_tot_neg,imp_redd_lrd_attiv,imp_redd_imp_attiv,VAR_CREDITO,VAR_RIMBORSO,VAR_DETRAZIONE,VAR_VOL_AFF_POS,VAR_VOL_AFF_NEG,CNR_S_AND_EXT_Obi
2003,3,1,1,1,1,0,3,18,0,3,1,3,0,0,0,0,0,0,0,-105515,77966,0,0,77966,6987,0,0,0,0,0,0,0,6,1,0,0,389817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1390,28939,0,0,0,-389817,-389817,0,20,0,20,1,2,2,911,0,1,0,16,0,1543,0,0,0,0,0,0,53,GR,GR,0,0,0,0,-1543,-1543,105515,90000,15515,0,0,3
2004,3,1,1,1,2,0,4,53,0,3,1,3,0,0,0,0,0,0,0,-122915,111164,0,0,111164,18632,0,0,0,0,0,0,0,6,1,554514,0,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3764,15515,0,0,0,-555848,-555848,0,20,0,20,1,2,2,911,0,1,0,16,0,3079,0,0,0,53,0,0,53,GR,GR,0,0,0,0,-3079,-3079,122915,115000,7915,0,0,3
2003,3,0,1,1,3,0,4,82,0,4,4,2,0,0,0,0,0,0,0,-1277,303,1439154,0,92034,92034,0,0,0,0,0,0,0,6,4,0,0,493390,0,0,0,0,0,0,0,0,1439154,0,0,30418,0,91731,10091,11065,0,0,0,976182,945764,6.37,19.88,6.37,18.65,1,4,2,911,0,1,0,8,265551,0,0,0,16427,0,0,16427,0,GR,GR,1308500,0,0,0,306193,306193,1277,0,1281,1530885,0,3
2000,3,0,1,1,1,0,1,35,0,2,3,21,0,0,0,0,0,0,0,-3925.07,3925.07,0,0,0,0,0,0,0,0,0,0,0,6,1,19625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19625,-19625,0,20,0,20,1,2,2,911,0,1,0,12,342,0,0,0,0,0,0,0,0,GR,GR,0,0,0,0,342,342,3925,0,3925,0,0,3
2003,3,0,1,1,1,0,3,12,0,2,3,21,0,0,0,0,0,0,0,-50607,10644,0,0,10644,0,0,0,0,0,0,0,0,6,1,0,49526,3693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10111,50074,0,0,0,-53219,-53219,0,20,0,20,1,2,2,911,0,1,0,17,0,88189,0,0,4578,0,0,0,335,GR,GR,0,0,0,0,-83611,-83611,50607,0,50607,0,0,3
2004,3,0,1,1,1,0,3,12,0,2,3,21,0,0,0,0,0,0,0,-58906,13171,0,0,13171,0,0,0,0,0,0,0,0,6,1,2205,54737,8913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4872,50607,0,0,0,-65855,-65855,0,20,0,20,1,2,2,911,0,1,0,17,0,96070,0,0,4618,345,345,0,1807,GR,GR,0,0,0,0,-91314,-91314,58906,0,58906,0,0,3
2002,3,0,1,1,1,1,3,12,0,2,3,10,0,0,0,0,0,0,0,-65316,65316,0,0,0,0,0,0,0,0,0,0,0,6,1,375541,0,10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-385582,-385582,0,16.94,0,16.94,1,2,2,911,0,1,0,16,0,6507,0,0,1827,0,0,1827,0,GR,GR,0,0,0,0,-6494,-6494,65316,63316,2000,0,0,3
2003,3,0,1,1,2,1,4,82,0,3,3,10,0,0,0,0,0,0,0,-90654,40654,1460169,0,182047,182047,0,0,0,0,0,0,0,6,4,1947,6237,230751,0,0,0,0,0,0,0,0,1460169,0,0,523,0,141393,59924,109924,0,0,0,-101320,-101843,9.68,11.66,9.68,11.65,1,2,3,911,0,1,0,12,0,4434,0,0,3922,0,0,0,7199,GR,GR,1078713,0,58168,0,11535,11535,90654,0,90654,1601562,0,3
2004,3,0,1,1,2,1,4,53,0,3,3,10,0,0,0,0,0,0,0,-108019,38494,1173119,0,152776,152776,0,0,0,0,0,0,0,6,4,428,6237,147356,0,0,0,0,0,0,0,0,1173119,0,0,12957,0,114282,33955,90654,13093,45334,1127785,-499970,-512927,9.74,9.13,9.74,9.06,1,2,3,911,0,1,0,12,23470,0,0,0,19987,7155,7155,16105,0,GR,GR,1230475,0,7397,0,60566,60566,108019,0,108018,1287401,0,3
2004,3,1,1,1,1,0,3,12,0,3,3,3,0,0,0,0,0,0,0,-186940,186940,0,0,186940,940,0,0,0,0,0,0,0,6,1,1720000,0,4702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1724702,-1724702,0,10.84,0,10.84,1,2,2,911,0,1,0,12,0,437,0,0,0,0,0,0,0,GR,GR,0,0,0,0,-437,-437,186940,0,186940,0,0,3
